Civ.;Nom;Prénom;Parcours;Groupe;Etat;Mail;Personnel;Etape;etudid;code_nip;code_ine
M.;Gauthier;Arthur;;C2;I;arthur.gauthier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15689;97420279;
M.;Gérard;Benoît;;A1;I;benoit.gerard@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15690;87344730;
M.;Gilles;Véronique;;C1;I;veronique.gilles@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14350;91672448;
M.;Gillet;Frédérique;;A2;I;frederique.gillet@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15693;42049956;
M.;Girard;Chloé;;B2;I;chloe.girard@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15751;97420273;
M.;Girard;Manon;;C2;I;manon.girard@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15674;27435500;
M.;Gosselin;Martine;;B2;I;martine.gosselin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15711;17811704;
M.;Grondin;Hortense;;C2;I;hortense.grondin@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15741;78341481;
M.;Guillou;Marguerite;;B1;I;marguerite.guillou@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI#BUT2 INFO Parcours B (T3BUTINF-A2-P02) - FI;15729;90337402;
M.;Henry;Sacha;;A2;I;sacha.henry@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15702;97420283;
M.;Hernandez;Richard;;A1;I;richard.hernandez@uphf.fr;;BUT2 INFO Parcours B (T3BUTINF-A2-P02) - FI;15744;13750107;
M.;Hernandez;Véronique;;C2;I;veronique.hernandez@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15696;25037158;
M.;Imbert;Stéphane;;B1;I;stephane.imbert@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14357;16199497;
M.;Jean;Constance;;C1;I;constance.jean@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15686;10343097;
M.;Jean;Margaud;;B1;I;margaud.jean@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15717;90640181;
M.;Joly;Danielle;;C2;I;danielle.joly@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15684;12915897;
M.;Joseph;Maurice;;B2;I;maurice.joseph@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15694;51686170;
Mme;Julien;Christine;;B1;I;christine.julien@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15746;77663706;
M.;Lacroix;Agathe;;B1;I;agathe.lacroix@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15723;82133736;
M.;Le Roux;Marguerite;;A1;I;marguerite.leroux@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15716;49962784;
M.;Leblanc;Cécile;;B1;I;cecile.leblanc@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15714;76623467;
M.;Lefebvre;Emma;;C2;I;emma.lefebvre@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15739;97420271;
M.;Lejeune;Jacques;;C1;I;jacques.lejeune@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15722;22752444;
M.;Lemaire;Pierre;;B1;I;pierre.lemaire@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15708;63182615;
M.;Lemonnier;Astrid;;C2;I;astrid.lemonnier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15728;76732911;
M.;Leroy;Nathan;;A2;I;nathan.leroy@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15682;97420275;
M.;Letellier;Denise;;C2;I;denise.letellier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15673;50646713;
M.;Lévêque;Dorothée;;B2;I;dorothee.leveque@uphf.fr;;BUT2 INFO Parcours B (T3BUTINF-A2-P02) - FI;15679;57488925;
Mme;Louis;Stéphane;;B1;I;stephane.louis@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15740;54416107;
M.;Maillet;Philippine;;A1;I;philippine.maillet@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15692;32682818;
M.;Marchand;Julie;;A1;I;julie.marchand@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;14366;97420282;
M.;Martel;Claire;;A2;I;claire.martel@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15699;62603094;
Mme;Martel;Véronique;;A1;I;veronique.martel@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15727;68896305;
M.;Martin;Lucas;;C2;I;lucas.martin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15733;97420270;
M.;Martinez;Constance;;C1;I;constance.martinez@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14368;81982764;
M.;Martins;Agathe;;C1;I;agathe.martins@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15709;31943775;
M.;Martins;Timothée;;B1;I;timothee.martins@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14370;82927699;
Mme;Masson;Baptiste;;C1;I;baptiste.masson@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15672;97420289;
M.;Maury;Alphonse;;B1;I;alphonse.maury@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15678;95465878;
M.;Menard;Camille;;B2;I;camille.menard@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15687;50249516;
M.;Mendès;Patrick;;A1;I;patrick.mendes@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15730;77773709;
M.;Michel;Anaïs;;A1;I;anais.michel@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15721;97420286;
M.;Moreau;Clémence;;A2;I;clemence.moreau@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15732;50159312;
M.;Moreau;Hugo;;C1;I;hugo.moreau@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15736;97420272;
M.;Muller;Juliette;;A2;I;juliette.muller@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15749;79175481;
M.;Neveu;Étienne;;C2;I;etienne.neveu@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15726;60484600;
M.;Normand;Édouard;;A1;I;edouard.normand@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14375;29130524;
Mme;Ollivier;Astrid;;C1;I;astrid.ollivier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15738;81248279;
M.;Paris;Capucine;;C1;I;capucine.paris@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15701;18646283;
M.;Paris;Danielle;;B2;I;danielle.paris@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15719;91148891;
M.;Paul;Marie;;B2;I;marie.paul@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15710;41435259;
;Jean;Guy;;;;guy.pelletier@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;;35023897;
;Édouard;Maryse;;;;maryse.pelletier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;30205000;
;Inès;Olivier;;;;olivier.pelletier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;53040271;
;David;Camille;;;;camille.peron@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;;54983711;
;Grégoire;Clara;;;;clara.perrin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;97420280;
;Louise;Suzanne;;;;suzanne.picard@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;;81011062;
;Élisabeth;Richard;;;;richard.pineau@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;97420269;
;François;Margaud;;;;margaud.poirier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;96481770;
;Caroline;Constance;;;;constance.prevost@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;35387920;
;Madeleine;Guy;;;;guy.renard@uphf.fr;;BUT2 INFO Parcours B (T3BUTINF-A2-P02) - FI;;84566596;
;Aimé;Sarah;;;;sarah.renaud@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;;97420284;
;Augustin;Virginie;;;;virginie.reynaud@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;58086375;
;Martine;Suzanne;;;;suzanne.riou@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;84862901;
;Corinne;Margot;;;;margot.riviere@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;56218010;
;Marguerite;Gabriel;;;;gabriel.robin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;72502509;
;Mathis;Isabelle;;;;isabelle.roche@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;60437998;
;Étienne;Frédéric;;;;frederic.rodriguez@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;;53072356;
;Hélène;Thérèse;;;;therese.roussel@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;;56905884;
;Margot;Manon;;;;manon.roux@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;97420276;
;Clémence;Arthur;;;;arthur.salmon@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;38807708;
;Hortense;Gilles;;;;gilles.sauvage@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;72122489;
;Éléonore;Virginie;;;;virginie.vincent@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;86738344;
;Astrid;Astrid;;;;astrid.voisin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;;88698266;
;Maryse;Astrid;;;;astrid.weiss@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI#BUT2 INFO Parcours B (T3BUTINF-A2-P02) - FI;;84583355;
;;;;;;;;;;;
soit 107 étudiants inscrits et 0 démissionaire.;;;;;;;;;;;
